,year,arena,location,team,opponent,team_points,opponent_points
0,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,furman,73,71
1,2017,Greensboro Coliseum,Away,PRESBYTERIAN,north-carolina-greensboro,42,61
2,2017,Kaplan Arena at William and Mary Hall,Away,PRESBYTERIAN,william-mary,59,89
3,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,virginia-military-institute,77,67
4,2017,Taco Bell Arena,Away,PRESBYTERIAN,boise-state,56,82
5,2017,McAlister Field House,Away,PRESBYTERIAN,citadel,83,97
6,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,Johnson & Wales (NC),107,63
7,2017,Thompson-Boling Arena,Away,PRESBYTERIAN,tennessee,50,90
8,2017,G.B. Hodge Center,Away,PRESBYTERIAN,south-carolina-upstate,48,76
9,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,Coastal Georgia,90,48
10,2017,Williams Arena at Minges Coliseum,Away,PRESBYTERIAN,east-carolina,56,76
11,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,liberty,61,77
12,2017,John W. Pope Jr. Convocation Center,Away,PRESBYTERIAN,campbell,58,69
13,2017,Willett Hall,Away,PRESBYTERIAN,longwood,76,79
14,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,radford,63,76
15,2017,Winthrop Coliseum,Away,PRESBYTERIAN,winthrop,52,75
16,2017,Millis Center,Away,PRESBYTERIAN,high-point,44,77
17,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,charleston-southern,52,73
18,2017,Paul Porter Arena,Away,PRESBYTERIAN,gardner-webb,61,78
19,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,north-carolina-asheville,47,73
20,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,longwood,71,62
21,2017,Vines Center,Away,PRESBYTERIAN,liberty,51,71
22,2017,CSU Fieldhouse,Away,PRESBYTERIAN,charleston-southern,65,71
23,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,high-point,58,68
24,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,campbell,57,70
25,2017,Kimmel Arena,Away,PRESBYTERIAN,north-carolina-asheville,48,89
26,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,gardner-webb,56,84
27,2017,Donald N. Dedmon Center,Away,PRESBYTERIAN,radford,57,59
28,2017,Ross E.Templeton Center,Home,PRESBYTERIAN,winthrop,56,93
29,2017,John W. Pope Jr. Convocation Center,Away,PRESBYTERIAN,campbell,62,81
