,year,arena,location,team,opponent,team_points,opponent_points
0,2017,Dunkin' Donuts Center,Home,PROVIDENCE,vermont,80,58
1,2017,Value City Arena,Away,PROVIDENCE,ohio-state,67,72
2,2017,Dunkin' Donuts Center,Home,PROVIDENCE,grambling,71,54
3,2017,Dunkin' Donuts Center,Home,PROVIDENCE,st-francis-ny,64,48
4,2017,The Arena,Neutral,PROVIDENCE,memphis,60,51
5,2017,The Arena,Neutral,PROVIDENCE,virginia,52,63
6,2017,Dunkin' Donuts Center,Home,PROVIDENCE,new-hampshire,76,62
7,2017,Dunkin' Donuts Center,Home,PROVIDENCE,rhode-island,63,60
8,2017,Dunkin' Donuts Center,Home,PROVIDENCE,brown,95,57
9,2017,Dunkin' Donuts Center,Home,PROVIDENCE,massachusetts,75,69
10,2017,Dunkin' Donuts Center,Home,PROVIDENCE,wagner,76,54
11,2017,Dunkin' Donuts Center,Home,PROVIDENCE,maine,79,59
12,2017,Silvio O. Conte Forum,Away,PROVIDENCE,boston-college,67,79
13,2017,Cintas Center,Away,PROVIDENCE,xavier,56,82
14,2017,Hinkle Fieldhouse,Away,PROVIDENCE,butler,61,78
15,2017,Dunkin' Donuts Center,Home,PROVIDENCE,georgetown,76,70
16,2017,Dunkin' Donuts Center,Home,PROVIDENCE,creighton,64,78
17,2017,Allstate Arena,Away,PROVIDENCE,depaul,63,64
18,2017,Dunkin' Donuts Center,Home,PROVIDENCE,seton-hall,65,61
19,2017,Verizon Center,Away,PROVIDENCE,georgetown,74,56
20,2017,Wells Fargo Arena,Away,PROVIDENCE,villanova,68,78
21,2017,Dunkin' Donuts Center,Home,PROVIDENCE,st-johns-ny,86,91
22,2017,BMO Harris Bradley Center,Away,PROVIDENCE,marquette,79,78
23,2017,Dunkin' Donuts Center,Home,PROVIDENCE,villanova,57,66
24,2017,Prudential Center,Away,PROVIDENCE,seton-hall,70,72
25,2017,Dunkin' Donuts Center,Home,PROVIDENCE,butler,71,65
26,2017,Dunkin' Donuts Center,Home,PROVIDENCE,xavier,75,63
27,2017,CenturyLink Center,Away,PROVIDENCE,creighton,68,66
28,2017,Dunkin' Donuts Center,Home,PROVIDENCE,marquette,73,69
29,2017,Dunkin' Donuts Center,Home,PROVIDENCE,depaul,73,64
30,2017,Madison Square Garden (IV),Away,PROVIDENCE,st-johns-ny,86,75
31,2017,Madison Square Garden (IV),Neutral,PROVIDENCE,creighton,58,70
32,2017,University of Dayton Arena,Neutral,PROVIDENCE,southern-california,71,75
