,year,arena,location,team,opponent,team_points,opponent_points
0,2017,Thomas & Mack Center,Away,SOUTH-ALABAMA,nevada-las-vegas,76,68
1,2017,Mitchell Center,Home,SOUTH-ALABAMA,Blue Mountain College,88,35
2,2017,Mitchell Center,Home,SOUTH-ALABAMA,florida-international,69,64
3,2017,Mitchell Center,Home,SOUTH-ALABAMA,youngstown-state,84,75
4,2017,Mitchell Center,Home,SOUTH-ALABAMA,jacksonville,71,58
5,2017,Lantz Arena,Away,SOUTH-ALABAMA,eastern-illinois,62,72
6,2017,Reed Green Coliseum,Away,SOUTH-ALABAMA,southern-mississippi,78,55
7,2017,Mitchell Center,Home,SOUTH-ALABAMA,middle-tennessee,55,67
8,2017,Edmunds Center,Away,SOUTH-ALABAMA,stetson,78,87
9,2017,Mitchell Center,Home,SOUTH-ALABAMA,denver,51,64
10,2017,Mitchell Center,Home,SOUTH-ALABAMA,samford,79,82
11,2017,Mitchell Center,Home,SOUTH-ALABAMA,Spring Hill,71,50
12,2017,The Pavilion at Ole Miss,Away,SOUTH-ALABAMA,mississippi,58,92
13,2017,Mitchell Center,Home,SOUTH-ALABAMA,troy,76,75
14,2017,GSU Sports Arena,Away,SOUTH-ALABAMA,georgia-state,77,78
15,2017,Hanner Fieldhouse,Away,SOUTH-ALABAMA,georgia-southern,79,84
16,2017,Mitchell Center,Home,SOUTH-ALABAMA,texas-state,72,67
17,2017,Mitchell Center,Home,SOUTH-ALABAMA,texas-arlington,83,89
18,2017,Jack Stephens Center,Away,SOUTH-ALABAMA,arkansas-little-rock,56,73
19,2017,Convocation Center,Away,SOUTH-ALABAMA,arkansas-state,62,74
20,2017,Mitchell Center,Home,SOUTH-ALABAMA,georgia-southern,78,66
21,2017,Mitchell Center,Home,SOUTH-ALABAMA,georgia-state,80,83
22,2017,Trojan Arena,Away,SOUTH-ALABAMA,troy,76,71
23,2017,Fant-Ewing Coliseum,Away,SOUTH-ALABAMA,louisiana-monroe,66,63
24,2017,Cajundome,Away,SOUTH-ALABAMA,louisiana-lafayette,61,87
25,2017,Mitchell Center,Home,SOUTH-ALABAMA,appalachian-state,87,74
26,2017,Mitchell Center,Home,SOUTH-ALABAMA,coastal-carolina,77,81
27,2017,College Park Center,Away,SOUTH-ALABAMA,texas-arlington,75,86
28,2017,Strahan Coliseum,Away,SOUTH-ALABAMA,texas-state,64,90
29,2017,Mitchell Center,Home,SOUTH-ALABAMA,arkansas-little-rock,57,62
30,2017,Mitchell Center,Home,SOUTH-ALABAMA,arkansas-state,73,70
31,2017,Kiefer Lakefront Arena,Neutral,SOUTH-ALABAMA,coastal-carolina,67,80
