,year,arena,location,team,opponent,team_points,opponent_points
0,2017,Reed Arena,Home,TEXAS-AM,northwestern-state,72,44
1,2017,Reed Arena,Home,TEXAS-AM,american,76,53
2,2017,Reed Arena,Home,TEXAS-AM,southern-california,63,65
3,2017,Titan Gym,Neutral,TEXAS-AM,cal-state-northridge,95,73
4,2017,Titan Gym,Neutral,TEXAS-AM,virginia-tech,68,65
5,2017,Titan Gym,Neutral,TEXAS-AM,ucla,67,74
6,2017,Reed Arena,Home,TEXAS-AM,texas-am-corpus-christi,86,69
7,2017,Reed Arena,Home,TEXAS-AM,denver,80,58
8,2017,Reed Arena,Home,TEXAS-AM,south-carolina-state,83,76
9,2017,Toyota Center,Neutral,TEXAS-AM,arizona,63,67
10,2017,Reed Arena,Home,TEXAS-AM,saint-francis-pa,81,58
11,2017,Reed Arena,Home,TEXAS-AM,tennessee,63,73
12,2017,Rupp Arena,Away,TEXAS-AM,kentucky,58,100
13,2017,The Colonial Life Arena,Away,TEXAS-AM,south-carolina,68,79
14,2017,Reed Arena,Home,TEXAS-AM,louisiana-state,92,62
15,2017,Humphrey Coliseum,Away,TEXAS-AM,mississippi-state,59,67
16,2017,Reed Arena,Home,TEXAS-AM,arkansas,60,62
17,2017,Reed Arena,Home,TEXAS-AM,georgia,63,62
18,2017,The Pavilion at Ole Miss,Away,TEXAS-AM,mississippi,80,76
19,2017,WVU Coliseum,Away,TEXAS-AM,west-virginia,77,81
20,2017,Reed Arena,Home,TEXAS-AM,vanderbilt,54,68
21,2017,Maravich Assembly Center,Away,TEXAS-AM,louisiana-state,85,73
22,2017,Reed Arena,Home,TEXAS-AM,missouri,76,73
23,2017,Stephen C. O'Connell Center,Away,TEXAS-AM,florida,62,71
24,2017,Memorial Gymnasium,Away,TEXAS-AM,vanderbilt,67,72
25,2017,Reed Arena,Home,TEXAS-AM,auburn,81,62
26,2017,Bud Walton Arena,Away,TEXAS-AM,arkansas,77,86
27,2017,Reed Arena,Home,TEXAS-AM,alabama,56,53
28,2017,Mizzou Arena,Away,TEXAS-AM,missouri,60,43
29,2017,Reed Arena,Home,TEXAS-AM,kentucky,63,71
30,2017,,Neutral,TEXAS-AM,vanderbilt,41,66
