,year,arena,location,team,opponent,team_points,opponent_points
0,2017,Winthrop Coliseum,Home,WINTHROP,Ferrum,66,47
1,2017,Draddy Gymnasium,Away,WINTHROP,manhattan,94,81
2,2017,Donald L. Tucker Center,Away,WINTHROP,florida-state,86,100
3,2017,State Farm Center,Away,WINTHROP,illinois,84,80
4,2017,Winthrop Coliseum,Home,WINTHROP,new-hampshire,60,65
5,2017,Winthrop Coliseum,Home,WINTHROP,furman,58,57
6,2017,University of Dayton Arena,Away,WINTHROP,dayton,67,83
7,2017,Winthrop Coliseum,Home,WINTHROP,Greensboro,106,63
8,2017,Hampton Convocation Center,Away,WINTHROP,hampton,86,79
9,2017,Winthrop Coliseum,Home,WINTHROP,georgia-southern,86,84
10,2017,Chaifetz Arena,Away,WINTHROP,saint-louis,66,55
11,2017,CSU Fieldhouse,Away,WINTHROP,charleston-southern,84,68
12,2017,Winthrop Coliseum,Home,WINTHROP,radford,80,82
13,2017,Millis Center,Away,WINTHROP,high-point,80,74
14,2017,Winthrop Coliseum,Home,WINTHROP,longwood,83,65
15,2017,Winthrop Coliseum,Home,WINTHROP,presbyterian,75,52
16,2017,John W. Pope Jr. Convocation Center,Away,WINTHROP,campbell,72,63
17,2017,Winthrop Coliseum,Home,WINTHROP,north-carolina-asheville,76,73
18,2017,Vines Center,Away,WINTHROP,liberty,61,48
19,2017,Paul Porter Arena,Away,WINTHROP,gardner-webb,72,70
20,2017,Winthrop Coliseum,Home,WINTHROP,high-point,80,83
21,2017,Donald N. Dedmon Center,Away,WINTHROP,radford,81,65
22,2017,Winthrop Coliseum,Home,WINTHROP,campbell,76,62
23,2017,Kimmel Arena,Away,WINTHROP,north-carolina-asheville,101,104
24,2017,Winthrop Coliseum,Home,WINTHROP,gardner-webb,77,71
25,2017,Willett Hall,Away,WINTHROP,longwood,83,63
26,2017,Winthrop Coliseum,Home,WINTHROP,liberty,84,67
27,2017,Winthrop Coliseum,Home,WINTHROP,charleston-southern,86,72
28,2017,Ross E.Templeton Center,Away,WINTHROP,presbyterian,93,56
29,2017,Winthrop Coliseum,Neutral,WINTHROP,charleston-southern,92,78
30,2017,Winthrop Coliseum,Home,WINTHROP,gardner-webb,80,77
31,2017,Winthrop Coliseum,Home,WINTHROP,campbell,76,59
32,2017,BMO Harris Bradley Center,Neutral,WINTHROP,butler,64,76
