,year,arena,location,team,opponent,team_points,opponent_points
0,2018,Galen Center,Away,CAL-STATE-FULLERTON,southern-california,42,84
1,2018,McKeon Pavilion,Away,CAL-STATE-FULLERTON,saint-marys-ca,57,76
2,2018,Titan Gym,Home,CAL-STATE-FULLERTON,Bethesda University (CA),77,35
3,2018,Titan Gym,Home,CAL-STATE-FULLERTON,georgia,57,64
4,2018,Titan Gym,Neutral,CAL-STATE-FULLERTON,sacramento-state,68,63
5,2018,Titan Gym,Home,CAL-STATE-FULLERTON,harvard,70,61
6,2018,Titan Gym,Home,CAL-STATE-FULLERTON,Cal Lutheran,86,58
7,2018,Chiles Center,Away,CAL-STATE-FULLERTON,portland,76,66
8,2018,Titan Gym,Home,CAL-STATE-FULLERTON,utah-valley,91,83
9,2018,Haas Pavilion,Away,CAL-STATE-FULLERTON,california,89,95
10,2018,Albert Gersten Pavilion,Away,CAL-STATE-FULLERTON,loyola-marymount,88,80
11,2018,UCCU Center,Away,CAL-STATE-FULLERTON,utah-valley,78,87
12,2018,Titan Gym,Home,CAL-STATE-FULLERTON,california-riverside,68,65
13,2018,Robert A. Mott Gymnasium,Away,CAL-STATE-FULLERTON,cal-poly,101,97
14,2018,Bren Events Center,Away,CAL-STATE-FULLERTON,california-irvine,67,64
15,2018,Titan Gym,Home,CAL-STATE-FULLERTON,california-davis,85,70
16,2018,The Thunderdome,Away,CAL-STATE-FULLERTON,california-santa-barbara,64,83
17,2018,The Walter Pyramid,Away,CAL-STATE-FULLERTON,long-beach-state,73,81
18,2018,Titan Gym,Home,CAL-STATE-FULLERTON,california-santa-barbara,65,70
19,2018,Stan Sheriff Center,Away,CAL-STATE-FULLERTON,hawaii,69,66
20,2018,Titan Gym,Home,CAL-STATE-FULLERTON,california-irvine,58,63
21,2018,Titan Gym,Home,CAL-STATE-FULLERTON,cal-poly,75,59
22,2018,The Pavilion,Away,CAL-STATE-FULLERTON,california-davis,68,66
23,2018,Titan Gym,Home,CAL-STATE-FULLERTON,cal-state-northridge,88,70
24,2018,UC Riverside Student Recreation Center,Away,CAL-STATE-FULLERTON,california-riverside,65,69
25,2018,Titan Gym,Home,CAL-STATE-FULLERTON,long-beach-state,81,71
26,2018,The Matadome,Away,CAL-STATE-FULLERTON,cal-state-northridge,102,76
27,2018,Titan Gym,Home,CAL-STATE-FULLERTON,hawaii,60,68
28,2018,Honda Center,Neutral,CAL-STATE-FULLERTON,long-beach-state,76,74
29,2018,Honda Center,Neutral,CAL-STATE-FULLERTON,california-davis,55,52
30,2018,Honda Center,Neutral,CAL-STATE-FULLERTON,california-irvine,71,55
31,2018,Little Caesars Arena,Neutral,CAL-STATE-FULLERTON,purdue,48,74
