,year,arena,location,team,opponent,team_points,opponent_points
0,2018,Haas Pavilion,Away,CALIFORNIA-RIVERSIDE,california,74,66
1,2018,Albert Gersten Pavilion,Away,CALIFORNIA-RIVERSIDE,loyola-marymount,64,76
2,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,portland-state,82,94
3,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,Western New Mexico,75,57
4,2018,Crisler Arena,Away,CALIFORNIA-RIVERSIDE,michigan,42,87
5,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,pacific,55,57
6,2018,Grand Canyon University Arena,Away,CALIFORNIA-RIVERSIDE,grand-canyon,56,68
7,2018,Firestone Fieldhouse,Away,CALIFORNIA-RIVERSIDE,pepperdine,59,70
8,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,air-force,67,48
9,2018,Adams Center/Dahlberg Arena,Away,CALIFORNIA-RIVERSIDE,montana,61,77
10,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,valparaiso,73,60
11,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,UC-Merced,91,46
12,2018,UCCU Center,Away,CALIFORNIA-RIVERSIDE,utah-valley,82,90
13,2018,Connolly Center,Away,CALIFORNIA-RIVERSIDE,seattle,71,95
14,2018,Titan Gym,Away,CALIFORNIA-RIVERSIDE,cal-state-fullerton,65,68
15,2018,The Thunderdome,Away,CALIFORNIA-RIVERSIDE,california-santa-barbara,57,65
16,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,california-davis,65,75
17,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,long-beach-state,68,75
18,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,cal-state-northridge,57,66
19,2018,Bren Events Center,Away,CALIFORNIA-RIVERSIDE,california-irvine,40,79
20,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,california-santa-barbara,69,76
21,2018,Robert A. Mott Gymnasium,Away,CALIFORNIA-RIVERSIDE,cal-poly,68,71
22,2018,Stan Sheriff Center,Away,CALIFORNIA-RIVERSIDE,hawaii,64,60
23,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,california-irvine,52,62
24,2018,The Matadome,Away,CALIFORNIA-RIVERSIDE,cal-state-northridge,69,62
25,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,hawaii,69,74
26,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,cal-state-fullerton,69,65
27,2018,The Pavilion,Away,CALIFORNIA-RIVERSIDE,california-davis,63,64
28,2018,UC Riverside Student Recreation Center,Home,CALIFORNIA-RIVERSIDE,cal-poly,72,63
29,2018,The Walter Pyramid,Away,CALIFORNIA-RIVERSIDE,long-beach-state,59,77
30,2018,Honda Center,Neutral,CALIFORNIA-RIVERSIDE,california-davis,66,70
