,year,arena,location,team,opponent,team_points,opponent_points
0,2018,Alumni Arena,Away,CANISIUS,buffalo,75,80
1,2018,Clune Arena,Away,CANISIUS,air-force,79,93
2,2018,Koessler Athletic Center,Home,CANISIUS,youngstown-state,104,84
3,2018,Gentry Center Complex,Away,CANISIUS,tennessee-state,52,60
4,2018,A.G. Spanos Center,Neutral,CANISIUS,texas-state,68,62
5,2018,A.G. Spanos Center,Neutral,CANISIUS,arkansas-pine-bluff,81,58
6,2018,A.G. Spanos Center,Away,CANISIUS,pacific,58,80
7,2018,Koessler Athletic Center,Home,CANISIUS,dartmouth,73,60
8,2018,Koessler Athletic Center,Home,CANISIUS,st-bonaventure,65,73
9,2018,Ford Center,Away,CANISIUS,evansville,58,65
10,2018,SEFCU Arena,Away,CANISIUS,albany-ny,65,68
11,2018,Koessler Athletic Center,Home,CANISIUS,elon,67,51
12,2018,Charles L. Sewall Center,Away,CANISIUS,robert-morris,76,62
13,2018,Koessler Athletic Center,Home,CANISIUS,rider,77,76
14,2018,Koessler Athletic Center,Home,CANISIUS,iona,85,78
15,2018,TD Bank Sports Center,Away,CANISIUS,quinnipiac,82,74
16,2018,Times Union Center,Away,CANISIUS,siena,62,65
17,2018,Koessler Athletic Center,Home,CANISIUS,saint-peters,70,58
18,2018,Koessler Athletic Center,Home,CANISIUS,monmouth,94,79
19,2018,Draddy Gymnasium,Away,CANISIUS,manhattan,68,59
20,2018,Hynes Athletics Center,Away,CANISIUS,iona,84,82
21,2018,Koessler Athletic Center,Home,CANISIUS,niagara,89,105
22,2018,McCann Recreation Center,Away,CANISIUS,marist,73,67
23,2018,Yanitelli Center,Away,CANISIUS,saint-peters,73,58
24,2018,Koessler Athletic Center,Home,CANISIUS,siena,89,65
25,2018,Koessler Athletic Center,Home,CANISIUS,quinnipiac,71,64
26,2018,Koessler Athletic Center,Home,CANISIUS,fairfield,81,63
27,2018,Multipurpose Activity Center,Away,CANISIUS,monmouth,78,60
28,2018,Alumni Gymnasium,Away,CANISIUS,rider,82,83
29,2018,Gallagher Center,Away,CANISIUS,niagara,95,88
30,2018,Koessler Athletic Center,Home,CANISIUS,marist,98,74
31,2018,Times Union Center,Neutral,CANISIUS,quinnipiac,69,72
32,2018,Koessler Athletic Center,Home,CANISIUS,jacksonville-state,78,80
