,year,arena,location,team,opponent,team_points,opponent_points
0,2018,Wells Fargo Center,Away,COLUMBIA,villanova,60,75
1,2018,Willett Hall,Away,COLUMBIA,longwood,87,77
2,2018,Bryce Jordan Center,Away,COLUMBIA,penn-state,65,79
3,2018,Christl Arena,Away,COLUMBIA,army,78,88
4,2018,Cotterell Court,Away,COLUMBIA,colgate,71,77
5,2018,Harry A. Gampel Pavilion,Away,COLUMBIA,connecticut,73,77
6,2018,SEFCU Arena,Away,COLUMBIA,albany-ny,82,86
7,2018,Levien Gym,Home,COLUMBIA,quinnipiac,87,89
8,2018,Levien Gym,Home,COLUMBIA,stony-brook,66,76
9,2018,Levien Gym,Home,COLUMBIA,navy,68,73
10,2018,Silvio O. Conte Forum,Away,COLUMBIA,boston-college,66,81
11,2018,Levien Gym,Home,COLUMBIA,maine,83,71
12,2018,Levien Gym,Home,COLUMBIA,Sarah Lawrence,87,42
13,2018,Jadwin Gymnasium,Away,COLUMBIA,princeton,56,72
14,2018,The Palestra,Away,COLUMBIA,pennsylvania,71,77
15,2018,Levien Gym,Home,COLUMBIA,cornell,88,62
16,2018,Newman Arena,Away,COLUMBIA,cornell,81,82
17,2018,Levien Gym,Home,COLUMBIA,harvard,83,76
18,2018,Levien Gym,Home,COLUMBIA,dartmouth,77,74
19,2018,John J. Lee Ampitheater,Away,COLUMBIA,yale,84,88
20,2018,Pizzitola Sports Center,Away,COLUMBIA,brown,88,91
21,2018,Levien Gym,Home,COLUMBIA,pennsylvania,62,74
22,2018,Levien Gym,Home,COLUMBIA,princeton,85,60
23,2018,Levien Gym,Home,COLUMBIA,brown,89,82
24,2018,Levien Gym,Home,COLUMBIA,yale,73,83
25,2018,Leede Arena,Away,COLUMBIA,dartmouth,78,80
26,2018,Lavietes Pavilion,Away,COLUMBIA,harvard,74,93
