,year,arena,location,team,opponent,team_points,opponent_points
0,2018,Pinnacle Bank Arena,Away,EASTERN-ILLINOIS,nebraska,68,72
1,2018,Western Hall,Away,EASTERN-ILLINOIS,western-illinois,54,56
2,2018,Lantz Arena,Home,EASTERN-ILLINOIS,iupui,80,79
3,2018,Viejas Arena,Away,EASTERN-ILLINOIS,san-diego-state,63,94
4,2018,Lantz Arena,Home,EASTERN-ILLINOIS,Fontbonne,96,44
5,2018,BMO Harris Bradley Center,Away,EASTERN-ILLINOIS,marquette,83,86
6,2018,Carver Arena,Away,EASTERN-ILLINOIS,bradley,56,67
7,2018,Resch Center,Away,EASTERN-ILLINOIS,green-bay,57,59
8,2018,Mitchell Center,Away,EASTERN-ILLINOIS,south-alabama,52,63
9,2018,Lantz Arena,Home,EASTERN-ILLINOIS,western-illinois,78,77
10,2018,Lantz Arena,Home,EASTERN-ILLINOIS,St. Francis (IL),74,38
11,2018,CFSB Center,Away,EASTERN-ILLINOIS,murray-state,52,80
12,2018,Winfield Dunn Center,Away,EASTERN-ILLINOIS,austin-peay,54,70
13,2018,Ellis T. Johnson Arena,Away,EASTERN-ILLINOIS,morehead-state,61,52
14,2018,McBrayer Arena,Away,EASTERN-ILLINOIS,eastern-kentucky,54,53
15,2018,Lantz Arena,Home,EASTERN-ILLINOIS,tennessee-state,65,69
16,2018,Lantz Arena,Home,EASTERN-ILLINOIS,belmont,66,75
17,2018,Lantz Arena,Home,EASTERN-ILLINOIS,tennessee-martin,80,60
18,2018,Lantz Arena,Home,EASTERN-ILLINOIS,southeast-missouri-state,74,86
19,2018,Curb Event Center,Away,EASTERN-ILLINOIS,belmont,59,81
20,2018,Gentry Center Complex,Away,EASTERN-ILLINOIS,tennessee-state,47,50
21,2018,Lantz Arena,Home,EASTERN-ILLINOIS,jacksonville-state,56,75
22,2018,Lantz Arena,Home,EASTERN-ILLINOIS,tennessee-tech,79,71
23,2018,Sam Vadalabene Center,Away,EASTERN-ILLINOIS,southern-illinois-edwardsville,78,74
24,2018,Lantz Arena,Home,EASTERN-ILLINOIS,austin-peay,69,76
25,2018,Show Me Center,Away,EASTERN-ILLINOIS,southeast-missouri-state,73,80
26,2018,Skyhawk Arena,Away,EASTERN-ILLINOIS,tennessee-martin,64,57
27,2018,Lantz Arena,Home,EASTERN-ILLINOIS,murray-state,66,76
28,2018,Lantz Arena,Home,EASTERN-ILLINOIS,southern-illinois-edwardsville,68,56
29,2018,Ford Center,Neutral,EASTERN-ILLINOIS,tennessee-state,73,71
30,2018,Ford Center,Neutral,EASTERN-ILLINOIS,austin-peay,66,73
