,year,arena,location,team,opponent,team_points,opponent_points
0,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,george-washington,87,67
1,2018,Montego Bay Convention Centre,Neutral,FLORIDA-STATE,fordham,67,43
2,2018,Montego Bay Convention Centre,Neutral,FLORIDA-STATE,colorado-state,90,73
3,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,kennesaw-state,98,79
4,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,citadel,113,78
5,2018,Louis Brown Athletic Center,Away,FLORIDA-STATE,rutgers,78,73
6,2018,Stephen C. O'Connell Center,Away,FLORIDA-STATE,florida,83,66
7,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,loyola-md,96,71
8,2018,Amalie Arena,Neutral,FLORIDA-STATE,tulane,72,53
9,2018,BB&T Center,Neutral,FLORIDA-STATE,oklahoma-state,70,71
10,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,charleston-southern,69,58
11,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,southern-mississippi,98,45
12,2018,Cameron Indoor Stadium,Away,FLORIDA-STATE,duke,93,100
13,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,north-carolina,81,80
14,2018,Watsco Center,Away,FLORIDA-STATE,miami-fl,74,80
15,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,louisville,69,73
16,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,syracuse,101,90
17,2018,Silvio O. Conte Forum,Away,FLORIDA-STATE,boston-college,75,81
18,2018,Cassell Coliseum,Away,FLORIDA-STATE,virginia-tech,91,82
19,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,georgia-tech,88,77
20,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,miami-fl,103,94
21,2018,Lawrence Joel Coliseum,Away,FLORIDA-STATE,wake-forest,72,76
22,2018,KFC Yum! Center,Away,FLORIDA-STATE,louisville,80,76
23,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,virginia,55,59
24,2018,Purcell Pavilion at the Joyce Center,Away,FLORIDA-STATE,notre-dame,69,84
25,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,clemson,81,79
26,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,pittsburgh,88,75
27,2018,PNC Arena,Away,FLORIDA-STATE,north-carolina-state,72,92
28,2018,Littlejohn Coliseum,Away,FLORIDA-STATE,clemson,63,76
29,2018,Donald L. Tucker Center,Home,FLORIDA-STATE,boston-college,85,76
30,2018,Barclays Center,Neutral,FLORIDA-STATE,louisville,74,82
31,2018,Bridgestone Arena,Neutral,FLORIDA-STATE,missouri,67,54
32,2018,Bridgestone Arena,Neutral,FLORIDA-STATE,xavier,75,70
33,2018,Staples Center,Neutral,FLORIDA-STATE,gonzaga,75,60
34,2018,Staples Center,Neutral,FLORIDA-STATE,michigan,54,58
