,year,arena,location,team,opponent,team_points,opponent_points
0,2018,Lawrence Joel Coliseum,Away,GEORGIA-SOUTHERN,wake-forest,85,83
1,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,cal-state-bakersfield,77,53
2,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,Bluefield State,120,52
3,2018,Germain Arena,Neutral,GEORGIA-SOUTHERN,missouri-state,74,73
4,2018,Germain Arena,Neutral,GEORGIA-SOUTHERN,missouri-kansas-city,78,75
5,2018,Germain Arena,Neutral,GEORGIA-SOUTHERN,towson,67,70
6,2018,Carver Arena,Away,GEORGIA-SOUTHERN,bradley,57,62
7,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,Tennessee Wesleyan,97,61
8,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,savannah-state,102,91
9,2018,EagleBank Arena,Away,GEORGIA-SOUTHERN,george-mason,74,51
10,2018,Icardo Center,Away,GEORGIA-SOUTHERN,cal-state-bakersfield,53,55
11,2018,KSU Convocation Center,Away,GEORGIA-SOUTHERN,kennesaw-state,78,69
12,2018,Freedom Hall Civic Center,Away,GEORGIA-SOUTHERN,east-tennessee-state,59,79
13,2018,Trojan Arena,Away,GEORGIA-SOUTHERN,troy,86,80
14,2018,Mitchell Center,Away,GEORGIA-SOUTHERN,south-alabama,67,69
15,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,arkansas-state,80,49
16,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,arkansas-little-rock,72,69
17,2018,The HTC Center,Away,GEORGIA-SOUTHERN,coastal-carolina,77,66
18,2018,Holmes Convocation Center,Away,GEORGIA-SOUTHERN,appalachian-state,60,59
19,2018,GSU Sports Arena,Away,GEORGIA-SOUTHERN,georgia-state,66,83
20,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,texas-state,61,62
21,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,texas-arlington,74,59
22,2018,Jack Stephens Center,Away,GEORGIA-SOUTHERN,arkansas-little-rock,67,61
23,2018,Convocation Center,Away,GEORGIA-SOUTHERN,arkansas-state,89,91
24,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,louisiana-monroe,64,66
25,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,louisiana-lafayette,91,102
26,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,georgia-state,85,80
27,2018,College Park Center,Away,GEORGIA-SOUTHERN,texas-arlington,63,83
28,2018,Strahan Coliseum,Away,GEORGIA-SOUTHERN,texas-state,81,77
29,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,south-alabama,81,74
30,2018,Hanner Fieldhouse,Home,GEORGIA-SOUTHERN,troy,89,83
31,2018,Kiefer Lakefront Arena,Neutral,GEORGIA-SOUTHERN,louisiana-monroe,63,55
32,2018,Kiefer Lakefront Arena,Neutral,GEORGIA-SOUTHERN,georgia-state,67,73
