,year,arena,location,team,opponent,team_points,opponent_points
0,2018,Alumni Gymnasium,Away,HAMPTON,rider,75,90
1,2018,Hampton Convocation Center,Home,HAMPTON,Bluefield College (VA),85,68
2,2018,Kaplan Arena at William and Mary Hall,Away,HAMPTON,william-mary,76,83
3,2018,Charles E. Smith Center,Away,HAMPTON,george-washington,57,65
4,2018,Cintas Center,Away,HAMPTON,xavier,60,96
5,2018,Orleans Arena,Neutral,HAMPTON,northern-arizona,76,66
6,2018,Orleans Arena,Neutral,HAMPTON,rider,80,94
7,2018,Hampton Convocation Center,Home,HAMPTON,Saint Leo,72,56
8,2018,Hampton Convocation Center,Home,HAMPTON,Mid-Atlantic Christian,117,54
9,2018,Hampton Convocation Center,Home,HAMPTON,coastal-carolina,81,85
10,2018,JQH Arena,Away,HAMPTON,missouri-state,75,88
11,2018,Hampton Convocation Center,Home,HAMPTON,gardner-webb,79,80
12,2018,Hampton Convocation Center,Home,HAMPTON,appalachian-state,86,53
13,2018,John Paul Jones Arena,Away,HAMPTON,virginia,48,82
14,2018,UTRGV Fieldhouse,Away,HAMPTON,texas-pan-american,69,80
15,2018,Hytche Athletic Center,Away,HAMPTON,maryland-eastern-shore,83,92
16,2018,Hampton Convocation Center,Home,HAMPTON,delaware-state,78,56
17,2018,Tiger Arena,Away,HAMPTON,savannah-state,101,103
18,2018,SHM Memorial Center,Away,HAMPTON,south-carolina-state,91,84
19,2018,Hampton Convocation Center,Home,HAMPTON,florida-am,71,75
20,2018,Hampton Convocation Center,Home,HAMPTON,bethune-cookman,80,69
21,2018,Hampton Convocation Center,Home,HAMPTON,coppin-state,70,59
22,2018,Ellis Corbett Sports Center,Away,HAMPTON,north-carolina-at,84,92
23,2018,McLendon-McDougald Gym,Away,HAMPTON,north-carolina-central,86,70
24,2018,Burr Gymnasium,Away,HAMPTON,howard,95,81
25,2018,Hampton Convocation Center,Home,HAMPTON,norfolk-state,82,52
26,2018,Physical Education Complex,Away,HAMPTON,coppin-state,82,79
27,2018,Hampton Convocation Center,Home,HAMPTON,south-carolina-state,79,66
28,2018,Hampton Convocation Center,Home,HAMPTON,savannah-state,114,102
29,2018,Hampton Convocation Center,Home,HAMPTON,morgan-state,57,38
30,2018,Echols Memorial Hall,Away,HAMPTON,norfolk-state,74,71
31,2018,Norfolk Scope,Neutral,HAMPTON,florida-am,75,71
32,2018,Norfolk Scope,Neutral,HAMPTON,north-carolina-at,96,86
33,2018,Norfolk Scope,Neutral,HAMPTON,north-carolina-central,63,71
34,2018,Purcell Pavilion at the Joyce Center,Away,HAMPTON,notre-dame,63,84
