,year,arena,location,team,opponent,team_points,opponent_points
0,2018,Max Worthington Arena,Away,NEBRASKA-OMAHA,montana-state,80,89
1,2018,Lloyd Noble Center,Away,NEBRASKA-OMAHA,oklahoma,89,108
2,2018,The Pit,Away,NEBRASKA-OMAHA,new-mexico,71,103
3,2018,KFC Yum! Center,Away,NEBRASKA-OMAHA,louisville,78,87
4,2018,Ed & Rae Schollmaier Arena,Away,NEBRASKA-OMAHA,texas-christian,66,99
5,2018,The Arena,Neutral,NEBRASKA-OMAHA,tennessee-tech,85,86
6,2018,The Arena,Neutral,NEBRASKA-OMAHA,jackson-state,73,75
7,2018,Baxter Arena,Home,NEBRASKA-OMAHA,drake,75,73
8,2018,Alaska Airlines Arena,Away,NEBRASKA-OMAHA,washington,73,86
9,2018,The Thunderdome,Away,NEBRASKA-OMAHA,california-santa-barbara,70,77
10,2018,Knapp Center,Away,NEBRASKA-OMAHA,drake,74,93
11,2018,Baxter Arena,Home,NEBRASKA-OMAHA,arkansas-state,77,74
12,2018,Baxter Arena,Home,NEBRASKA-OMAHA,Cornell (IA),99,58
13,2018,Allen Fieldhouse,Away,NEBRASKA-OMAHA,kansas,64,109
14,2018,Baxter Arena,Home,NEBRASKA-OMAHA,montana-state,84,71
15,2018,Mabee Center,Away,NEBRASKA-OMAHA,oral-roberts,74,93
16,2018,Baxter Arena,Home,NEBRASKA-OMAHA,Doane College,100,60
17,2018,Baxter Arena,Home,NEBRASKA-OMAHA,south-dakota-state,88,101
18,2018,Western Hall,Away,NEBRASKA-OMAHA,western-illinois,87,66
19,2018,Allen County War Memorial Coliseum,Away,NEBRASKA-OMAHA,ipfw,78,82
20,2018,Baxter Arena,Home,NEBRASKA-OMAHA,denver,86,80
21,2018,Baxter Arena,Home,NEBRASKA-OMAHA,south-dakota,71,85
22,2018,Scheels Center,Away,NEBRASKA-OMAHA,north-dakota-state,58,73
23,2018,Frost Arena,Away,NEBRASKA-OMAHA,south-dakota-state,60,80
24,2018,Baxter Arena,Home,NEBRASKA-OMAHA,western-illinois,71,68
25,2018,Baxter Arena,Home,NEBRASKA-OMAHA,ipfw,90,85
26,2018,Magness Arena,Away,NEBRASKA-OMAHA,denver,78,94
27,2018,Sanford Coyote Sports Center,Away,NEBRASKA-OMAHA,south-dakota,64,79
28,2018,Baxter Arena,Home,NEBRASKA-OMAHA,oral-roberts,75,83
29,2018,Baxter Arena,Home,NEBRASKA-OMAHA,north-dakota-state,62,84
30,2018,Denny Sanford Premier Center,Neutral,NEBRASKA-OMAHA,south-dakota,73,87
