,year,arena,location,team,opponent,team_points,opponent_points
0,2018,Ryan Center,Home,RHODE-ISLAND,north-carolina-asheville,84,60
1,2018,Lawlor Events Center,Away,RHODE-ISLAND,nevada,81,88
2,2018,Ryan Center,Home,RHODE-ISLAND,holy-cross,88,66
3,2018,Barclays Center,Neutral,RHODE-ISLAND,seton-hall,75,74
4,2018,Barclays Center,Neutral,RHODE-ISLAND,virginia,55,70
5,2018,Ryan Center,Home,RHODE-ISLAND,brown,86,62
6,2018,Ryan Center,Home,RHODE-ISLAND,providence,75,68
7,2018,Coleman Coliseum,Away,RHODE-ISLAND,alabama,64,68
8,2018,Ryan Center,Home,RHODE-ISLAND,college-of-charleston,68,62
9,2018,Ryan Center,Home,RHODE-ISLAND,iona,80,74
10,2018,Ryan Center,Home,RHODE-ISLAND,florida-gulf-coast,80,60
11,2018,Ryan Center,Home,RHODE-ISLAND,george-mason,83,64
12,2018,Ryan Center,Home,RHODE-ISLAND,la-salle,74,62
13,2018,Charles E. Smith Center,Away,RHODE-ISLAND,george-washington,81,60
14,2018,Chaifetz Arena,Away,RHODE-ISLAND,saint-louis,72,65
15,2018,Ryan Center,Home,RHODE-ISLAND,st-bonaventure,87,73
16,2018,Ryan Center,Home,RHODE-ISLAND,massachusetts,73,51
17,2018,University of Dayton Arena,Away,RHODE-ISLAND,dayton,88,74
18,2018,Rose Hill Gym,Away,RHODE-ISLAND,fordham,78,58
19,2018,Ryan Center,Home,RHODE-ISLAND,duquesne,61,58
20,2018,Mullins Center,Away,RHODE-ISLAND,massachusetts,85,83
21,2018,Stuart Siegel Center,Away,RHODE-ISLAND,virginia-commonwealth,81,68
22,2018,Ryan Center,Home,RHODE-ISLAND,davidson,72,59
23,2018,Ryan Center,Home,RHODE-ISLAND,richmond,85,67
24,2018,Reilly Center,Away,RHODE-ISLAND,st-bonaventure,74,77
25,2018,Tom Gola Arena,Away,RHODE-ISLAND,la-salle,95,93
26,2018,Ryan Center,Home,RHODE-ISLAND,dayton,81,56
27,2018,Ryan Center,Home,RHODE-ISLAND,saint-josephs,48,78
28,2018,Belk Arena,Away,RHODE-ISLAND,davidson,61,63
29,2018,Capital One Arena,Neutral,RHODE-ISLAND,virginia-commonwealth,76,67
30,2018,Capital One Arena,Neutral,RHODE-ISLAND,saint-josephs,90,87
31,2018,Capital One Arena,Neutral,RHODE-ISLAND,davidson,57,58
32,2018,CONSOL Energy Center,Neutral,RHODE-ISLAND,oklahoma,83,78
33,2018,CONSOL Energy Center,Neutral,RHODE-ISLAND,duke,62,87
