,year,arena,location,team,opponent,team_points,opponent_points
0,2018,Ted Constant Convocation Ctr.,Away,TOWSON,old-dominion,54,57
1,2018,SECU Arena,Home,TOWSON,Frostburg State,89,45
2,2018,Reitz Arena,Away,TOWSON,loyola-md,95,72
3,2018,SECU Arena,Home,TOWSON,florida-atlantic,76,52
4,2018,Germain Arena,Neutral,TOWSON,pennsylvania,79,71
5,2018,Germain Arena,Neutral,TOWSON,georgia-southern,70,67
6,2018,SECU Arena,Home,TOWSON,St. Mary's (MD),90,57
7,2018,SSE Arena,Neutral,TOWSON,la-salle,67,60
8,2018,SSE Arena,Neutral,TOWSON,manhattan,56,55
9,2018,SECU Arena,Home,TOWSON,morgan-state,82,78
10,2018,SECU Arena,Home,TOWSON,maryland-baltimore-county,78,65
11,2018,Athletics Center O'rena,Away,TOWSON,oakland,86,97
12,2018,Petersen Events Center,Away,TOWSON,pittsburgh,59,63
13,2018,TD Arena,Away,TOWSON,college-of-charleston,62,73
14,2018,Alumni Gym,Away,TOWSON,elon,72,75
15,2018,SECU Arena,Home,TOWSON,north-carolina-wilmington,89,71
16,2018,SECU Arena,Home,TOWSON,college-of-charleston,73,62
17,2018,SECU Arena,Home,TOWSON,hofstra,73,76
18,2018,Kaplan Arena at William and Mary Hall,Away,TOWSON,william-mary,99,73
19,2018,SECU Arena,Home,TOWSON,drexel,90,68
20,2018,Trask Coliseum,Away,TOWSON,north-carolina-wilmington,71,73
21,2018,SECU Arena,Home,TOWSON,william-mary,96,82
22,2018,SECU Arena,Home,TOWSON,elon,76,83
23,2018,Bob Carpenter Center,Away,TOWSON,delaware,75,71
24,2018,JMU Convocation Center,Away,TOWSON,james-madison,73,79
25,2018,Daskalakis Athletic Center,Away,TOWSON,drexel,94,92
26,2018,SECU Arena,Home,TOWSON,northeastern,62,77
27,2018,SECU Arena,Home,TOWSON,delaware,67,65
28,2018,SECU Arena,Home,TOWSON,james-madison,66,69
29,2018,Matthews Arena,Away,TOWSON,northeastern,75,80
30,2018,Mack Sports Complex,Away,TOWSON,hofstra,86,91
31,2018,North Charleston Coliseum,Neutral,TOWSON,william-mary,66,80
