,year,arena,location,team,opponent,team_points,opponent_points
0,2018,University Arena,Home,WESTERN-MICHIGAN,Siena Heights,103,72
1,2018,The Colonial Life Arena,Away,WESTERN-MICHIGAN,south-carolina,60,78
2,2018,The HTC Center,Neutral,WESTERN-MICHIGAN,tulsa,74,81
3,2018,The HTC Center,Neutral,WESTERN-MICHIGAN,appalachian-state,86,67
4,2018,The HTC Center,Neutral,WESTERN-MICHIGAN,south-carolina,66,79
5,2018,University Arena,Home,WESTERN-MICHIGAN,Northwood (MI),88,59
6,2018,Chaifetz Arena,Away,WESTERN-MICHIGAN,saint-louis,65,51
7,2018,University Arena,Home,WESTERN-MICHIGAN,oakland,73,78
8,2018,University Arena,Home,WESTERN-MICHIGAN,cleveland-state,78,67
9,2018,Calihan Hall,Away,WESTERN-MICHIGAN,detroit-mercy,87,79
10,2018,University Arena,Home,WESTERN-MICHIGAN,idaho,52,82
11,2018,UW-Milwaukee Panther Arena,Away,WESTERN-MICHIGAN,milwaukee,66,63
12,2018,University Arena,Home,WESTERN-MICHIGAN,chicago-state,92,71
13,2018,University Arena,Home,WESTERN-MICHIGAN,akron,87,75
14,2018,Millett Hall,Away,WESTERN-MICHIGAN,miami-oh,67,62
15,2018,John F. Savage Hall,Away,WESTERN-MICHIGAN,toledo,61,84
16,2018,University Arena,Home,WESTERN-MICHIGAN,ball-state,73,58
17,2018,Memorial Athletic & Convocation Center,Away,WESTERN-MICHIGAN,kent-state,71,73
18,2018,University Arena,Home,WESTERN-MICHIGAN,buffalo,74,84
19,2018,University Arena,Home,WESTERN-MICHIGAN,toledo,81,85
20,2018,University Arena,Home,WESTERN-MICHIGAN,northern-illinois,79,72
21,2018,Convocation Center,Away,WESTERN-MICHIGAN,eastern-michigan,71,57
22,2018,Alumni Arena,Away,WESTERN-MICHIGAN,buffalo,86,92
23,2018,University Arena,Home,WESTERN-MICHIGAN,miami-oh,68,64
24,2018,University Arena,Home,WESTERN-MICHIGAN,ohio,69,60
25,2018,Stroh Center,Away,WESTERN-MICHIGAN,bowling-green-state,81,83
26,2018,Convocation Center,Away,WESTERN-MICHIGAN,northern-illinois,67,75
27,2018,University Arena,Home,WESTERN-MICHIGAN,central-michigan,83,81
28,2018,Worthen Arena,Away,WESTERN-MICHIGAN,ball-state,87,80
29,2018,University Arena,Home,WESTERN-MICHIGAN,eastern-michigan,58,74
30,2018,Riepma Arena,Away,WESTERN-MICHIGAN,central-michigan,71,84
31,2018,University Arena,Home,WESTERN-MICHIGAN,akron,78,79
