,year,arena,location,team,opponent,team_points,opponent_points
0,2019,Matthews Arena,Away,BOSTON-UNIVERSITY,northeastern,77,74
1,2019,Case Gym,Home,BOSTON-UNIVERSITY,vermont,72,78
2,2019,Case Gym,Home,BOSTON-UNIVERSITY,Emerson,94,57
3,2019,SEFCU Arena,Away,BOSTON-UNIVERSITY,albany-ny,71,61
4,2019,Convocation Center,Away,BOSTON-UNIVERSITY,eastern-michigan,62,80
5,2019,Daskalakis Athletic Center,Away,BOSTON-UNIVERSITY,drexel,67,86
6,2019,Louis Brown Athletic Center,Away,BOSTON-UNIVERSITY,rutgers,44,54
7,2019,Lundholm Gymnasium,Away,BOSTON-UNIVERSITY,new-hampshire,82,53
8,2019,Schar Center,Away,BOSTON-UNIVERSITY,elon,65,58
9,2019,Case Gym,Home,BOSTON-UNIVERSITY,massachusetts-lowell,79,60
10,2019,Leede Arena,Away,BOSTON-UNIVERSITY,dartmouth,68,78
11,2019,Case Gym,Home,BOSTON-UNIVERSITY,nicholls-state,75,63
12,2019,Case Gym,Home,BOSTON-UNIVERSITY,bethune-cookman,66,74
13,2019,Bender Arena,Away,BOSTON-UNIVERSITY,american,74,86
14,2019,Case Gym,Home,BOSTON-UNIVERSITY,bucknell,87,80
15,2019,Case Gym,Home,BOSTON-UNIVERSITY,army,82,86
16,2019,Alumni Hall,Away,BOSTON-UNIVERSITY,navy,75,69
17,2019,Reitz Arena,Away,BOSTON-UNIVERSITY,loyola-md,73,81
18,2019,Case Gym,Home,BOSTON-UNIVERSITY,colgate,56,77
19,2019,Case Gym,Neutral,BOSTON-UNIVERSITY,american,66,70
20,2019,Stabler Arena,Away,BOSTON-UNIVERSITY,lehigh,78,94
21,2019,Case Gym,Home,BOSTON-UNIVERSITY,holy-cross,68,54
22,2019,Cotterell Court,Away,BOSTON-UNIVERSITY,colgate,76,68
23,2019,Case Gym,Home,BOSTON-UNIVERSITY,lafayette,72,79
24,2019,Sojka Pavilion,Away,BOSTON-UNIVERSITY,bucknell,76,82
25,2019,Christl Arena,Away,BOSTON-UNIVERSITY,army,61,71
26,2019,Case Gym,Home,BOSTON-UNIVERSITY,lehigh,79,84
27,2019,Hart Recreation Center,Away,BOSTON-UNIVERSITY,holy-cross,70,60
28,2019,Case Gym,Home,BOSTON-UNIVERSITY,loyola-md,72,65
29,2019,Kirby Sports Center,Away,BOSTON-UNIVERSITY,lafayette,84,82
30,2019,Case Gym,Home,BOSTON-UNIVERSITY,navy,74,79
31,2019,Case Gym,Home,BOSTON-UNIVERSITY,loyola-md,71,63
32,2019,Cotterell Court,Away,BOSTON-UNIVERSITY,colgate,69,81
