,year,arena,location,team,opponent,team_points,opponent_points
0,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,new-mexico,84,87
1,2019,Albert Gersten Pavilion,Away,CAL-STATE-NORTHRIDGE,loyola-marymount,64,79
2,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,portland,77,80
3,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,tennessee-state,80,77
4,2019,Beasley Coliseum,Away,CAL-STATE-NORTHRIDGE,washington-state,94,103
5,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,sacramento-state,68,88
6,2019,Firestone Fieldhouse,Away,CAL-STATE-NORTHRIDGE,pepperdine,90,83
7,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,Cal State San Marcos,76,72
8,2019,Jenny Craig Pavillion,Away,CAL-STATE-NORTHRIDGE,san-diego,68,82
9,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,pacific,77,79
10,2019,Pan American Center,Away,CAL-STATE-NORTHRIDGE,new-mexico-state,57,92
11,2019,Orleans Arena,Neutral,CAL-STATE-NORTHRIDGE,southern-illinois-edwardsville,85,79
12,2019,Orleans Arena,Neutral,CAL-STATE-NORTHRIDGE,rider,81,80
13,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,morgan-state,94,86
14,2019,Viejas Arena,Away,CAL-STATE-NORTHRIDGE,san-diego-state,60,65
15,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,yale,90,94
16,2019,UC Riverside Student Recreation Center,Away,CAL-STATE-NORTHRIDGE,california-riverside,84,83
17,2019,Robert A. Mott Gymnasium,Away,CAL-STATE-NORTHRIDGE,cal-poly,78,74
18,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,hawaii,79,84
19,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,california-irvine,68,74
20,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,long-beach-state,86,71
21,2019,Titan Gym,Away,CAL-STATE-NORTHRIDGE,cal-state-fullerton,71,78
22,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,cal-poly,83,65
23,2019,The Thunderdome,Away,CAL-STATE-NORTHRIDGE,california-santa-barbara,64,70
24,2019,The Pavilion,Away,CAL-STATE-NORTHRIDGE,california-davis,59,76
25,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,cal-state-fullerton,71,78
26,2019,The Walter Pyramid,Away,CAL-STATE-NORTHRIDGE,long-beach-state,78,80
27,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,california-davis,81,76
28,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,california-riverside,70,68
29,2019,Stan Sheriff Center,Away,CAL-STATE-NORTHRIDGE,hawaii,84,73
30,2019,The Matadome,Home,CAL-STATE-NORTHRIDGE,california-santa-barbara,74,76
31,2019,Bren Events Center,Away,CAL-STATE-NORTHRIDGE,california-irvine,74,86
32,2019,Honda Center,Neutral,CAL-STATE-NORTHRIDGE,california-santa-barbara,68,71
33,2019,UCCU Center,Away,CAL-STATE-NORTHRIDGE,utah-valley,84,92
