,year,arena,location,team,opponent,team_points,opponent_points
0,2019,Mizzou Arena,Away,CENTRAL-ARKANSAS,missouri,55,68
1,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,Hendrix,99,73
2,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,University of the Ozarks,93,52
3,2019,Petersen Events Center,Away,CENTRAL-ARKANSAS,pittsburgh,71,97
4,2019,Trojan Arena,Away,CENTRAL-ARKANSAS,troy,77,82
5,2019,Chaifetz Arena,Away,CENTRAL-ARKANSAS,saint-louis,61,73
6,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,arkansas-little-rock,78,65
7,2019,KFC Yum! Center,Away,CENTRAL-ARKANSAS,louisville,41,86
8,2019,Jack Stephens Center,Away,CENTRAL-ARKANSAS,arkansas-little-rock,85,82
9,2019,The Pit,Away,CENTRAL-ARKANSAS,new-mexico,70,82
10,2019,Assembly Hall,Away,CENTRAL-ARKANSAS,indiana,53,86
11,2019,Gallagher-Iba Arena,Away,CENTRAL-ARKANSAS,oklahoma-state,73,82
12,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,Lyon,62,47
13,2019,American Bank Center,Away,CENTRAL-ARKANSAS,texas-am-corpus-christi,75,87
14,2019,University Center,Away,CENTRAL-ARKANSAS,southeastern-louisiana,73,71
15,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,sam-houston-state,69,78
16,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,lamar,75,68
17,2019,McDermott Center,Away,CENTRAL-ARKANSAS,incarnate-word,77,60
18,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,nicholls-state,74,68
19,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,new-orleans,76,71
20,2019,Moody Coliseum,Away,CENTRAL-ARKANSAS,abilene-christian,56,79
21,2019,William Johnson Coliseum,Away,CENTRAL-ARKANSAS,stephen-f-austin,99,105
22,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,northwestern-state,75,80
23,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,southeastern-louisiana,67,75
24,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,houston-baptist,71,75
25,2019,H&HP Complex,Away,CENTRAL-ARKANSAS,mcneese-state,75,83
26,2019,David Stopher Gymnasium,Away,CENTRAL-ARKANSAS,nicholls-state,57,100
27,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,stephen-f-austin,92,74
28,2019,Jeff Farris Center,Home,CENTRAL-ARKANSAS,abilene-christian,55,67
29,2019,Johnson Coliseum,Away,CENTRAL-ARKANSAS,sam-houston-state,91,87
30,2019,Prather Coliseum,Away,CENTRAL-ARKANSAS,northwestern-state,70,63
31,2019,Leonard E. Merrell Center,Neutral,CENTRAL-ARKANSAS,texas-am-corpus-christi,73,53
32,2019,Leonard E. Merrell Center,Neutral,CENTRAL-ARKANSAS,southeastern-louisiana,65,79
