,year,arena,location,team,opponent,team_points,opponent_points
0,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,Webber,110,84
1,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,Johnson & Wales (FL),117,47
2,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,milwaukee,86,83
3,2019,Rose Hill Gym,Away,FLORIDA-INTERNATIONAL,fordham,77,83
4,2019,Rose Hill Gym,Neutral,FLORIDA-INTERNATIONAL,columbia,98,87
5,2019,Rose Hill Gym,Neutral,FLORIDA-INTERNATIONAL,youngstown-state,102,93
6,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,Ave Maria,104,84
7,2019,Alico Arena,Away,FLORIDA-INTERNATIONAL,florida-gulf-coast,81,80
8,2019,Bud Walton Arena,Away,FLORIDA-INTERNATIONAL,arkansas,89,121
9,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,north-florida,102,89
10,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,south-florida,73,82
11,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,Florida Memorial,108,67
12,2019,Convocation Center,Away,FLORIDA-INTERNATIONAL,ohio,66,68
13,2019,Murphy Athletic Center,Away,FLORIDA-INTERNATIONAL,middle-tennessee,83,76
14,2019,Bartow Arena,Away,FLORIDA-INTERNATIONAL,alabama-birmingham,65,84
15,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,charlotte,69,66
16,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,old-dominion,74,75
17,2019,E.A. Diddle Arena,Away,FLORIDA-INTERNATIONAL,western-kentucky,77,76
18,2019,Henderson Center,Away,FLORIDA-INTERNATIONAL,marshall,97,105
19,2019,FAU Arena,Away,FLORIDA-INTERNATIONAL,florida-atlantic,78,74
20,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,florida-atlantic,72,89
21,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,southern-mississippi,73,89
22,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,louisiana-tech,75,69
23,2019,Convocation Center,Away,FLORIDA-INTERNATIONAL,texas-san-antonio,67,100
24,2019,Don Haskins Center,Away,FLORIDA-INTERNATIONAL,texas-el-paso,75,85
25,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,rice,86,65
26,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,north-texas,69,59
27,2019,FAU Arena,Away,FLORIDA-INTERNATIONAL,florida-atlantic,79,76
28,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,louisiana-tech,83,76
29,2019,Henderson Center,Away,FLORIDA-INTERNATIONAL,marshall,78,94
30,2019,FIU Arena,Home,FLORIDA-INTERNATIONAL,north-texas,73,58
31,2019,Ford Center,Neutral,FLORIDA-INTERNATIONAL,north-texas,57,71
32,2019,Strahan Coliseum,Away,FLORIDA-INTERNATIONAL,texas-state,87,81
33,2019,Kress Events Center,Away,FLORIDA-INTERNATIONAL,green-bay,68,98
