,year,arena,location,team,opponent,team_points,opponent_points
0,2019,Redbird Arena,Home,ILLINOIS-STATE,florida-gulf-coast,74,66
1,2019,Curb Event Center,Away,ILLINOIS-STATE,belmont,89,100
2,2019,Redbird Arena,Home,ILLINOIS-STATE,chicago-state,75,71
3,2019,John Gray Gymnasium,Neutral,ILLINOIS-STATE,georgia,68,80
4,2019,John Gray Gymnasium,Neutral,ILLINOIS-STATE,akron,73,68
5,2019,John Gray Gymnasium,Neutral,ILLINOIS-STATE,boise-state,73,70
6,2019,Redbird Arena,Home,ILLINOIS-STATE,Lindenwood,79,62
7,2019,Redbird Arena,Home,ILLINOIS-STATE,brigham-young,92,89
8,2019,Redbird Arena,Home,ILLINOIS-STATE,san-diego-state,65,75
9,2019,UIC Pavilion,Away,ILLINOIS-STATE,illinois-chicago,75,94
10,2019,Redbird Arena,Home,ILLINOIS-STATE,mississippi,74,81
11,2019,Redbird Arena,Home,ILLINOIS-STATE,cleveland-state,88,77
12,2019,CFE Arena,Away,ILLINOIS-STATE,central-florida,56,77
13,2019,Athletics-Recreation Center,Away,ILLINOIS-STATE,valparaiso,56,58
14,2019,Redbird Arena,Home,ILLINOIS-STATE,evansville,58,46
15,2019,Redbird Arena,Home,ILLINOIS-STATE,northern-iowa,70,69
16,2019,Joseph J. Gentile Center,Away,ILLINOIS-STATE,loyola-il,64,67
17,2019,Redbird Arena,Home,ILLINOIS-STATE,southern-illinois,59,58
18,2019,Ford Center,Away,ILLINOIS-STATE,evansville,78,70
19,2019,Carver Arena,Away,ILLINOIS-STATE,bradley,68,85
20,2019,Redbird Arena,Home,ILLINOIS-STATE,indiana-state,76,62
21,2019,Knapp Center,Away,ILLINOIS-STATE,drake,69,55
22,2019,Redbird Arena,Home,ILLINOIS-STATE,loyola-il,65,57
23,2019,Redbird Arena,Home,ILLINOIS-STATE,valparaiso,53,69
24,2019,JQH Arena,Away,ILLINOIS-STATE,missouri-state,65,66
25,2019,McLeod Center,Away,ILLINOIS-STATE,northern-iowa,64,77
26,2019,Redbird Arena,Home,ILLINOIS-STATE,bradley,59,65
27,2019,Hulman Center,Away,ILLINOIS-STATE,indiana-state,50,73
28,2019,Redbird Arena,Home,ILLINOIS-STATE,drake,67,60
29,2019,Redbird Arena,Home,ILLINOIS-STATE,missouri-state,65,57
30,2019,The SIU Arena,Away,ILLINOIS-STATE,southern-illinois,63,72
31,2019,Scottrade Center,Neutral,ILLINOIS-STATE,evansville,65,60
32,2019,Scottrade Center,Neutral,ILLINOIS-STATE,drake,62,78
