,year,arena,location,team,opponent,team_points,opponent_points
0,2019,Hynes Athletics Center,Home,IONA,albany-ny,72,68
1,2019,The Pit,Away,IONA,new-mexico,83,90
2,2019,Cox Pavilion,Neutral,IONA,long-beach-state,85,86
3,2019,Cox Pavilion,Neutral,IONA,hartford,80,75
4,2019,Dunkin' Donuts Center,Away,IONA,providence,79,91
5,2019,Convocation Center,Away,IONA,ohio,65,89
6,2019,Stuart Siegel Center,Away,IONA,virginia-commonwealth,59,88
7,2019,Madison Square Garden (IV),Neutral,IONA,columbia,71,74
8,2019,Boardwalk Hall,Neutral,IONA,princeton,81,85
9,2019,John J. Lee Ampitheater,Away,IONA,yale,84,99
10,2019,Hynes Athletics Center,Home,IONA,holy-cross,71,78
11,2019,Hynes Athletics Center,Home,IONA,monmouth,103,84
12,2019,Hynes Athletics Center,Home,IONA,fairfield,94,87
13,2019,Gallagher Center,Away,IONA,niagara,90,95
14,2019,Koessler Athletic Center,Away,IONA,canisius,88,70
15,2019,Hynes Athletics Center,Home,IONA,marist,90,77
16,2019,Multipurpose Activity Center,Away,IONA,monmouth,81,83
17,2019,Hynes Athletics Center,Home,IONA,rider,77,71
18,2019,Webster Bank Arena,Away,IONA,fairfield,68,80
19,2019,McCann Recreation Center,Away,IONA,marist,74,78
20,2019,Hynes Athletics Center,Home,IONA,siena,54,56
21,2019,Hynes Athletics Center,Home,IONA,quinnipiac,65,66
22,2019,Hynes Athletics Center,Home,IONA,niagara,79,76
23,2019,Times Union Center,Away,IONA,siena,57,52
24,2019,Hynes Athletics Center,Home,IONA,saint-peters,62,46
25,2019,TD Bank Sports Center,Away,IONA,quinnipiac,81,77
26,2019,Draddy Gymnasium,Away,IONA,manhattan,66,52
27,2019,Hynes Athletics Center,Home,IONA,canisius,87,80
28,2019,Alumni Gymnasium,Away,IONA,rider,86,79
29,2019,Times Union Center,Neutral,IONA,saint-peters,73,71
30,2019,Times Union Center,Neutral,IONA,siena,73,57
31,2019,Times Union Center,Neutral,IONA,monmouth,81,60
32,2019,Nationwide Arena,Neutral,IONA,north-carolina,73,88
