,year,arena,location,team,opponent,team_points,opponent_points
0,2019,Liacouras Center,Away,LA-SALLE,temple,67,75
1,2019,Tom Gola Arena,Home,LA-SALLE,lafayette,76,77
2,2019,Stephen C. O'Connell Center,Away,LA-SALLE,florida,69,82
3,2019,Tom Gola Arena,Home,LA-SALLE,drexel,84,89
4,2019,Titan Gym,Neutral,LA-SALLE,miami-fl,49,85
5,2019,Titan Gym,Neutral,LA-SALLE,northwestern,74,91
6,2019,Titan Gym,Neutral,LA-SALLE,grand-canyon,70,82
7,2019,The Palestra,Home,LA-SALLE,villanova,78,85
8,2019,Tom Gola Arena,Home,LA-SALLE,bucknell,79,92
9,2019,Tom Gola Arena,Home,LA-SALLE,pennsylvania,65,83
10,2019,Boardwalk Hall,Neutral,LA-SALLE,alabama-am,80,57
11,2019,Boardwalk Hall,Neutral,LA-SALLE,towson,57,51
12,2019,Mullins Center,Away,LA-SALLE,massachusetts,69,60
13,2019,Stuart Siegel Center,Away,LA-SALLE,virginia-commonwealth,63,69
14,2019,Tom Gola Arena,Home,LA-SALLE,saint-louis,64,71
15,2019,Tom Gola Arena,Home,LA-SALLE,george-washington,56,59
16,2019,Tom Gola Arena,Home,LA-SALLE,rhode-island,67,78
17,2019,Rose Hill Gym,Away,LA-SALLE,fordham,73,71
18,2019,Tom Gola Arena,Home,LA-SALLE,massachusetts,60,51
19,2019,Robins Center,Away,LA-SALLE,richmond,66,58
20,2019,Tom Gola Arena,Home,LA-SALLE,saint-josephs,83,69
21,2019,EagleBank Arena,Away,LA-SALLE,george-mason,76,84
22,2019,Tom Gola Arena,Home,LA-SALLE,duquesne,73,72
23,2019,Chaifetz Arena,Away,LA-SALLE,saint-louis,49,62
24,2019,Reilly Center,Away,LA-SALLE,st-bonaventure,60,62
25,2019,Tom Gola Arena,Home,LA-SALLE,richmond,75,84
26,2019,Tom Gola Arena,Home,LA-SALLE,davidson,79,69
27,2019,Hagan Arena,Away,LA-SALLE,saint-josephs,62,72
28,2019,University of Dayton Arena,Away,LA-SALLE,dayton,39,70
29,2019,Tom Gola Arena,Home,LA-SALLE,fordham,72,57
30,2019,Barclays Center,Neutral,LA-SALLE,rhode-island,57,76
