,year,arena,location,team,opponent,team_points,opponent_points
0,2019,Steinberg Wellness Center,Home,LONG-ISLAND-UNIVERSITY,New Rochelle,109,76
1,2019,Steinberg Wellness Center,Home,LONG-ISLAND-UNIVERSITY,brown,83,81
2,2019,Webster Bank Arena,Away,LONG-ISLAND-UNIVERSITY,fairfield,89,87
3,2019,Otter Sports Center,Neutral,LONG-ISLAND-UNIVERSITY,san-francisco,52,84
4,2019,UW-Milwaukee Panther Arena,Away,LONG-ISLAND-UNIVERSITY,milwaukee,87,92
5,2019,Steinberg Wellness Center,Home,LONG-ISLAND-UNIVERSITY,njit,70,77
6,2019,SSE Arena,Neutral,LONG-ISLAND-UNIVERSITY,albany-ny,80,77
7,2019,SSE Arena,Neutral,LONG-ISLAND-UNIVERSITY,marist,53,70
8,2019,Yanitelli Center,Away,LONG-ISLAND-UNIVERSITY,saint-peters,74,58
9,2019,Island Federal Credit Union,Away,LONG-ISLAND-UNIVERSITY,stony-brook,79,83
10,2019,Barclays Center,Home,LONG-ISLAND-UNIVERSITY,binghamton,67,68
11,2019,Rose Hill Gym,Away,LONG-ISLAND-UNIVERSITY,fordham,60,57
12,2019,William H. Pitt Center,Away,LONG-ISLAND-UNIVERSITY,sacred-heart,75,79
13,2019,Chace Athletic Center,Away,LONG-ISLAND-UNIVERSITY,bryant,79,70
14,2019,Steinberg Wellness Center,Home,LONG-ISLAND-UNIVERSITY,saint-francis-pa,67,74
15,2019,Steinberg Wellness Center,Home,LONG-ISLAND-UNIVERSITY,robert-morris,80,73
16,2019,Steinberg Wellness Center,Home,LONG-ISLAND-UNIVERSITY,fairleigh-dickinson,79,77
17,2019,Steinberg Wellness Center,Home,LONG-ISLAND-UNIVERSITY,st-francis-ny,70,79
18,2019,Knott Arena,Away,LONG-ISLAND-UNIVERSITY,mount-st-marys,72,74
19,2019,Detrick Gymnasium,Away,LONG-ISLAND-UNIVERSITY,central-connecticut-state,84,71
20,2019,Rothman Center,Away,LONG-ISLAND-UNIVERSITY,fairleigh-dickinson,77,80
21,2019,Spiro Sports Center,Away,LONG-ISLAND-UNIVERSITY,wagner,59,71
22,2019,Barclays Center,Home,LONG-ISLAND-UNIVERSITY,mount-st-marys,77,62
23,2019,Steinberg Wellness Center,Home,LONG-ISLAND-UNIVERSITY,wagner,65,68
24,2019,Pope Physical Education Center,Away,LONG-ISLAND-UNIVERSITY,st-francis-ny,76,83
25,2019,Steinberg Wellness Center,Home,LONG-ISLAND-UNIVERSITY,sacred-heart,92,84
26,2019,North Athletic Complex,Away,LONG-ISLAND-UNIVERSITY,robert-morris,49,62
27,2019,DeGol Arena,Away,LONG-ISLAND-UNIVERSITY,saint-francis-pa,69,66
28,2019,Steinberg Wellness Center,Home,LONG-ISLAND-UNIVERSITY,central-connecticut-state,84,55
29,2019,Steinberg Wellness Center,Home,LONG-ISLAND-UNIVERSITY,bryant,81,65
30,2019,William H. Pitt Center,Away,LONG-ISLAND-UNIVERSITY,sacred-heart,71,62
31,2019,DeGol Arena,Away,LONG-ISLAND-UNIVERSITY,saint-francis-pa,64,72
