,year,arena,location,team,opponent,team_points,opponent_points
0,2019,KFC Yum! Center,Home,LOUISVILLE,nicholls-state,85,72
1,2019,KFC Yum! Center,Home,LOUISVILLE,southern,104,54
2,2019,KFC Yum! Center,Home,LOUISVILLE,vermont,86,78
3,2019,Barclays Center,Neutral,LOUISVILLE,tennessee,81,92
4,2019,Barclays Center,Neutral,LOUISVILLE,marquette,74,77
5,2019,KFC Yum! Center,Home,LOUISVILLE,michigan-state,82,78
6,2019,Prudential Center,Away,LOUISVILLE,seton-hall,70,65
7,2019,KFC Yum! Center,Home,LOUISVILLE,central-arkansas,86,41
8,2019,Assembly Hall,Away,LOUISVILLE,indiana,67,68
9,2019,KFC Yum! Center,Home,LOUISVILLE,lipscomb,72,68
10,2019,KFC Yum! Center,Home,LOUISVILLE,kent-state,83,70
11,2019,KFC Yum! Center,Home,LOUISVILLE,robert-morris,73,59
12,2019,KFC Yum! Center,Home,LOUISVILLE,kentucky,58,71
13,2019,KFC Yum! Center,Home,LOUISVILLE,miami-fl,90,73
14,2019,Petersen Events Center,Away,LOUISVILLE,pittsburgh,86,89
15,2019,Dean Smith Center,Away,LOUISVILLE,north-carolina,83,62
16,2019,KFC Yum! Center,Home,LOUISVILLE,boston-college,80,70
17,2019,McCamish Pavilion,Away,LOUISVILLE,georgia-tech,79,51
18,2019,KFC Yum! Center,Home,LOUISVILLE,north-carolina-state,84,77
19,2019,KFC Yum! Center,Home,LOUISVILLE,pittsburgh,66,51
20,2019,Lawrence Joel Coliseum,Away,LOUISVILLE,wake-forest,82,54
21,2019,KFC Yum! Center,Home,LOUISVILLE,north-carolina,69,79
22,2019,Cassell Coliseum,Away,LOUISVILLE,virginia-tech,72,64
23,2019,Donald L. Tucker Center,Away,LOUISVILLE,florida-state,75,80
24,2019,KFC Yum! Center,Home,LOUISVILLE,duke,69,71
25,2019,KFC Yum! Center,Home,LOUISVILLE,clemson,56,55
26,2019,Carrier Dome,Away,LOUISVILLE,syracuse,49,69
27,2019,KFC Yum! Center,Home,LOUISVILLE,virginia,52,64
28,2019,Silvio O. Conte Forum,Away,LOUISVILLE,boston-college,59,66
29,2019,KFC Yum! Center,Home,LOUISVILLE,notre-dame,75,61
30,2019,John Paul Jones Arena,Away,LOUISVILLE,virginia,68,73
31,2019,Spectrum Center,Neutral,LOUISVILLE,notre-dame,75,53
32,2019,Spectrum Center,Neutral,LOUISVILLE,north-carolina,70,83
33,2019,Wells Fargo Arena,Neutral,LOUISVILLE,minnesota,76,86
