,year,arena,location,team,opponent,team_points,opponent_points
0,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,navy,67,44
1,2019,Hagan Arena,Away,OLD-DOMINION,saint-josephs,64,79
2,2019,Virgin Islands Sport & Fitness Center,Neutral,OLD-DOMINION,oregon-state,56,61
3,2019,Virgin Islands Sport & Fitness Center,Neutral,OLD-DOMINION,kennesaw-state,65,47
4,2019,Virgin Islands Sport & Fitness Center,Neutral,OLD-DOMINION,northern-iowa,53,54
5,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,northern-iowa,72,65
6,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,virginia-commonwealth,62,52
7,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,james-madison,67,42
8,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,william-mary,71,53
9,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,fairfield,79,69
10,2019,Carrier Dome,Away,OLD-DOMINION,syracuse,68,62
11,2019,Robins Center,Away,OLD-DOMINION,richmond,63,54
12,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,morgan-state,76,53
13,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,marshall,67,70
14,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,western-kentucky,69,66
15,2019,FAU Arena,Away,OLD-DOMINION,florida-atlantic,73,80
16,2019,FIU Arena,Away,OLD-DOMINION,florida-international,75,74
17,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,louisiana-tech,64,63
18,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,southern-mississippi,78,60
19,2019,Dale F. Halton Arena,Away,OLD-DOMINION,charlotte,76,70
20,2019,Don Haskins Center,Away,OLD-DOMINION,texas-el-paso,50,48
21,2019,Convocation Center,Away,OLD-DOMINION,texas-san-antonio,73,74
22,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,north-texas,72,61
23,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,rice,80,76
24,2019,Bartow Arena,Away,OLD-DOMINION,alabama-birmingham,70,59
25,2019,Murphy Athletic Center,Away,OLD-DOMINION,middle-tennessee,55,50
26,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,charlotte,73,60
27,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,western-kentucky,67,63
28,2019,Convocation Center,Away,OLD-DOMINION,texas-san-antonio,65,64
29,2019,Ted Constant Convocation Ctr.,Home,OLD-DOMINION,southern-mississippi,52,59
30,2019,Bartow Arena,Away,OLD-DOMINION,alabama-birmingham,50,64
31,2019,Ford Center at The Star,Neutral,OLD-DOMINION,louisiana-tech,57,56
32,2019,Ford Center at The Star,Neutral,OLD-DOMINION,alabama-birmingham,61,59
33,2019,Ford Center at The Star,Neutral,OLD-DOMINION,western-kentucky,62,56
34,2019,XL Center,Neutral,OLD-DOMINION,purdue,48,61
