,year,arena,location,team,opponent,team_points,opponent_points
0,2019,Hagan Arena,Home,SAINT-JOSEPHS,old-dominion,79,64
1,2019,Hagan Arena,Home,SAINT-JOSEPHS,monmouth,78,63
2,2019,The HTC Center,Neutral,SAINT-JOSEPHS,wake-forest,89,69
3,2019,The HTC Center,Neutral,SAINT-JOSEPHS,central-florida,57,77
4,2019,The HTC Center,Neutral,SAINT-JOSEPHS,west-virginia,90,97
5,2019,Kaplan Arena at William and Mary Hall,Away,SAINT-JOSEPHS,william-mary,85,87
6,2019,Hagan Arena,Home,SAINT-JOSEPHS,illinois-chicago,89,75
7,2019,Hagan Arena,Home,SAINT-JOSEPHS,temple,70,77
8,2019,Jadwin Gymnasium,Away,SAINT-JOSEPHS,princeton,92,82
9,2019,Finneran Pavilion,Away,SAINT-JOSEPHS,villanova,58,70
10,2019,The Palestra,Home,SAINT-JOSEPHS,loyola-il,45,42
11,2019,Hagan Arena,Home,SAINT-JOSEPHS,wagner,59,57
12,2019,Hagan Arena,Home,SAINT-JOSEPHS,george-mason,60,85
13,2019,Hagan Arena,Home,SAINT-JOSEPHS,george-washington,56,70
14,2019,Reilly Center,Away,SAINT-JOSEPHS,st-bonaventure,47,73
15,2019,A.J. Palumbo Center,Away,SAINT-JOSEPHS,duquesne,84,85
16,2019,Hagan Arena,Home,SAINT-JOSEPHS,davidson,61,60
17,2019,Chaifetz Arena,Away,SAINT-JOSEPHS,saint-louis,57,68
18,2019,Hagan Arena,Home,SAINT-JOSEPHS,richmond,74,70
19,2019,The Palestra,Away,SAINT-JOSEPHS,pennsylvania,70,78
20,2019,University of Dayton Arena,Away,SAINT-JOSEPHS,dayton,64,75
21,2019,Hagan Arena,Home,SAINT-JOSEPHS,massachusetts,64,62
22,2019,Tom Gola Arena,Away,SAINT-JOSEPHS,la-salle,69,83
23,2019,Hagan Arena,Home,SAINT-JOSEPHS,saint-louis,91,61
24,2019,Hagan Arena,Home,SAINT-JOSEPHS,st-bonaventure,51,76
25,2019,Belk Arena,Away,SAINT-JOSEPHS,davidson,72,80
26,2019,Mullins Center,Away,SAINT-JOSEPHS,massachusetts,79,80
27,2019,Rose Hill Gym,Away,SAINT-JOSEPHS,fordham,66,52
28,2019,Hagan Arena,Home,SAINT-JOSEPHS,la-salle,72,62
29,2019,Hagan Arena,Home,SAINT-JOSEPHS,rhode-island,85,86
30,2019,Stuart Siegel Center,Away,SAINT-JOSEPHS,virginia-commonwealth,63,75
31,2019,Barclays Center,Neutral,SAINT-JOSEPHS,duquesne,92,86
32,2019,Barclays Center,Neutral,SAINT-JOSEPHS,davidson,60,70
