,year,arena,location,team,opponent,team_points,opponent_points
0,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,Life Pacific,89,72
1,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,southern-utah,59,66
2,2019,Gateway Christian Academy,Neutral,SAN-JOSE-STATE,weber-state,77,85
3,2019,Gateway Christian Academy,Neutral,SAN-JOSE-STATE,cal-state-bakersfield,72,73
4,2019,Gateway Christian Academy,Neutral,SAN-JOSE-STATE,central-michigan,74,76
5,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,santa-clara,63,71
6,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,indiana-state,57,86
7,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,bethune-cookman,67,65
8,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,northern-arizona,79,74
9,2019,Maples Pavilion,Away,SAN-JOSE-STATE,stanford,73,78
10,2019,Haas Pavilion,Away,SAN-JOSE-STATE,california,80,88
11,2019,McKeon Pavilion,Away,SAN-JOSE-STATE,saint-marys-ca,45,75
12,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,fresno-state,53,73
13,2019,Lawlor Events Center,Away,SAN-JOSE-STATE,nevada,53,92
14,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,boise-state,64,87
15,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,utah-state,63,81
16,2019,Thomas & Mack Center,Away,SAN-JOSE-STATE,nevada-las-vegas,56,94
17,2019,Arena-Auditorium,Away,SAN-JOSE-STATE,wyoming,46,59
18,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,air-force,71,73
19,2019,Dee Glen Smith Spectrum,Away,SAN-JOSE-STATE,utah-state,73,103
20,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,san-diego-state,56,67
21,2019,Taco Bell Arena,Away,SAN-JOSE-STATE,boise-state,57,105
22,2019,The Pit,Away,SAN-JOSE-STATE,new-mexico,60,92
23,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,nevada-las-vegas,64,71
24,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,colorado-state,70,91
25,2019,Clune Arena,Away,SAN-JOSE-STATE,air-force,68,82
26,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,new-mexico,89,82
27,2019,Viejas Arena,Away,SAN-JOSE-STATE,san-diego-state,56,84
28,2019,San Jose State Event Center,Home,SAN-JOSE-STATE,wyoming,71,81
29,2019,Save Mart Center,Away,SAN-JOSE-STATE,fresno-state,81,121
30,2019,Thomas & Mack Center,Neutral,SAN-JOSE-STATE,air-force,56,87
