,year,arena,location,team,opponent,team_points,opponent_points
0,2019,SHM Memorial Center,Home,SOUTH-CAROLINA-STATE,Brevard,99,51
1,2019,Donald W. Reynolds Center,Away,SOUTH-CAROLINA-STATE,tulsa,52,74
2,2019,CSU Fieldhouse,Away,SOUTH-CAROLINA-STATE,charleston-southern,72,89
3,2019,Wolstein Center,Away,SOUTH-CAROLINA-STATE,cleveland-state,69,84
4,2019,Value City Arena,Away,SOUTH-CAROLINA-STATE,ohio-state,61,89
5,2019,Allen County War Memorial Coliseum,Away,SOUTH-CAROLINA-STATE,ipfw,68,72
6,2019,Pete Hanna Center,Away,SOUTH-CAROLINA-STATE,samford,60,77
7,2019,TD Arena,Away,SOUTH-CAROLINA-STATE,college-of-charleston,70,83
8,2019,Swisher Gymnasium,Away,SOUTH-CAROLINA-STATE,jacksonville,69,71
9,2019,SHM Memorial Center,Home,SOUTH-CAROLINA-STATE,Voorhees,90,69
10,2019,Cassell Coliseum,Away,SOUTH-CAROLINA-STATE,virginia-tech,44,81
11,2019,Vines Center,Away,SOUTH-CAROLINA-STATE,liberty,55,79
12,2019,G.B. Hodge Center,Away,SOUTH-CAROLINA-STATE,south-carolina-upstate,84,88
13,2019,Millett Hall,Away,SOUTH-CAROLINA-STATE,miami-oh,55,79
14,2019,Fifth Third Arena,Away,SOUTH-CAROLINA-STATE,cincinnati,56,77
15,2019,SHM Memorial Center,Home,SOUTH-CAROLINA-STATE,presbyterian,70,72
16,2019,SHM Memorial Center,Home,SOUTH-CAROLINA-STATE,north-carolina-at,77,80
17,2019,Hill Field House,Away,SOUTH-CAROLINA-STATE,morgan-state,72,68
18,2019,Physical Education Complex,Away,SOUTH-CAROLINA-STATE,coppin-state,70,68
19,2019,SHM Memorial Center,Home,SOUTH-CAROLINA-STATE,howard,67,71
20,2019,SHM Memorial Center,Home,SOUTH-CAROLINA-STATE,norfolk-state,69,74
21,2019,Tiger Arena,Away,SOUTH-CAROLINA-STATE,savannah-state,88,92
22,2019,Hytche Athletic Center,Away,SOUTH-CAROLINA-STATE,maryland-eastern-shore,61,63
23,2019,Memorial Hall,Away,SOUTH-CAROLINA-STATE,delaware-state,68,70
24,2019,SHM Memorial Center,Home,SOUTH-CAROLINA-STATE,morgan-state,85,81
25,2019,SHM Memorial Center,Home,SOUTH-CAROLINA-STATE,coppin-state,85,84
26,2019,SHM Memorial Center,Home,SOUTH-CAROLINA-STATE,bethune-cookman,73,98
27,2019,SHM Memorial Center,Home,SOUTH-CAROLINA-STATE,florida-am,57,54
28,2019,Ellis Corbett Sports Center,Away,SOUTH-CAROLINA-STATE,north-carolina-at,62,63
29,2019,McLendon-McDougald Gym,Away,SOUTH-CAROLINA-STATE,north-carolina-central,62,72
30,2019,Moore Gymnasium,Away,SOUTH-CAROLINA-STATE,bethune-cookman,95,98
31,2019,SHM Memorial Center,Home,SOUTH-CAROLINA-STATE,savannah-state,87,90
32,2019,Norfolk Scope,Neutral,SOUTH-CAROLINA-STATE,maryland-eastern-shore,63,54
33,2019,Norfolk Scope,Neutral,SOUTH-CAROLINA-STATE,norfolk-state,73,78
