,year,arena,location,team,opponent,team_points,opponent_points
0,2019,Maravich Assembly Center,Away,SOUTHEASTERN-LOUISIANA,louisiana-state,63,94
1,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,William Carey,78,57
2,2019,Pinnacle Bank Arena,Away,SOUTHEASTERN-LOUISIANA,nebraska,35,87
3,2019,United Supermarkets Arena,Away,SOUTHEASTERN-LOUISIANA,texas-tech,40,59
4,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,stetson,69,57
5,2019,Harrison HPER Complex,Away,SOUTHEASTERN-LOUISIANA,mississippi-valley-state,59,69
6,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,Louisiana College,86,71
7,2019,Devlin Fieldhouse,Away,SOUTHEASTERN-LOUISIANA,tulane,62,61
8,2019,Mississippi Coliseum,Neutral,SOUTHEASTERN-LOUISIANA,mississippi,47,69
9,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,california-baptist,52,73
10,2019,Assembly Center,Away,SOUTHEASTERN-LOUISIANA,grambling,68,69
11,2019,Carver Arena,Away,SOUTHEASTERN-LOUISIANA,bradley,60,63
12,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,louisiana-lafayette,72,73
13,2019,William Johnson Coliseum,Away,SOUTHEASTERN-LOUISIANA,stephen-f-austin,60,65
14,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,central-arkansas,71,73
15,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,abilene-christian,72,75
16,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,lamar,76,69
17,2019,H&HP Complex,Away,SOUTHEASTERN-LOUISIANA,mcneese-state,74,71
18,2019,Frank and Lucille Sharp Gymnasium,Away,SOUTHEASTERN-LOUISIANA,houston-baptist,70,67
19,2019,Prather Coliseum,Away,SOUTHEASTERN-LOUISIANA,northwestern-state,69,53
20,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,sam-houston-state,52,62
21,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,nicholls-state,91,70
22,2019,Dugan Wellness Center,Away,SOUTHEASTERN-LOUISIANA,texas-am-corpus-christi,64,58
23,2019,Jeff Farris Center,Away,SOUTHEASTERN-LOUISIANA,central-arkansas,75,67
24,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,incarnate-word,70,64
25,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,mcneese-state,88,52
26,2019,Kiefer Lakefront Arena,Away,SOUTHEASTERN-LOUISIANA,new-orleans,68,89
27,2019,Moody Coliseum,Away,SOUTHEASTERN-LOUISIANA,abilene-christian,75,66
28,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,northwestern-state,69,55
29,2019,University Center,Home,SOUTHEASTERN-LOUISIANA,new-orleans,81,67
30,2019,David Stopher Gymnasium,Away,SOUTHEASTERN-LOUISIANA,nicholls-state,63,69
31,2019,Leonard E. Merrell Center,Neutral,SOUTHEASTERN-LOUISIANA,central-arkansas,79,65
32,2019,Leonard E. Merrell Center,Neutral,SOUTHEASTERN-LOUISIANA,abilene-christian,66,69
