,year,arena,location,team,opponent,team_points,opponent_points
0,2019,Coleman Coliseum,Away,SOUTHERN,alabama,62,82
1,2019,Ferrell Center,Away,SOUTHERN,baylor,53,80
2,2019,KFC Yum! Center,Away,SOUTHERN,louisville,54,104
3,2019,EagleBank Arena,Away,SOUTHERN,george-mason,65,69
4,2019,The Arena,Neutral,SOUTHERN,western-michigan,70,85
5,2019,The Arena,Neutral,SOUTHERN,north-carolina-central,71,83
6,2019,F. G. Clark Activity Center,Home,SOUTHERN,Wiley,74,65
7,2019,Cajundome,Away,SOUTHERN,louisiana-lafayette,78,88
8,2019,Frost Arena,Away,SOUTHERN,south-dakota-state,92,101
9,2019,James H. Hilton Coliseum,Away,SOUTHERN,iowa-state,65,101
10,2019,Gold Dome,Away,SOUTHERN,northwestern-state,66,69
11,2019,F. G. Clark Activity Center,Home,SOUTHERN,california-baptist,76,79
12,2019,Fiserv Forum,Away,SOUTHERN,marquette,41,84
13,2019,F. G. Clark Activity Center,Home,SOUTHERN,prairie-view,73,82
14,2019,F. G. Clark Activity Center,Home,SOUTHERN,texas-southern,67,77
15,2019,Assembly Center,Away,SOUTHERN,grambling,63,69
16,2019,Lee E. Williams Athletics and Assembly Center,Away,SOUTHERN,jackson-state,58,64
17,2019,F. G. Clark Activity Center,Home,SOUTHERN,arkansas-pine-bluff,69,67
18,2019,F. G. Clark Activity Center,Home,SOUTHERN,mississippi-valley-state,80,56
19,2019,Elmore Health Science Building,Away,SOUTHERN,alabama-am,62,68
20,2019,Dunn-Oliver Acadome,Away,SOUTHERN,alabama-state,65,69
21,2019,Davey L. Whitney Complex,Away,SOUTHERN,alcorn-state,64,76
22,2019,F. G. Clark Activity Center,Home,SOUTHERN,grambling,40,59
23,2019,F. G. Clark Activity Center,Home,SOUTHERN,jackson-state,76,67
24,2019,H.O. Clemmons Arena,Away,SOUTHERN,arkansas-pine-bluff,45,61
25,2019,Harrison HPER Complex,Away,SOUTHERN,mississippi-valley-state,59,70
26,2019,F. G. Clark Activity Center,Home,SOUTHERN,alabama-am,59,49
27,2019,F. G. Clark Activity Center,Home,SOUTHERN,alabama-state,57,60
28,2019,F. G. Clark Activity Center,Home,SOUTHERN,alcorn-state,61,46
29,2019,William J. Nicks Building,Away,SOUTHERN,prairie-view,55,73
30,2019,Health & Physical Education Arena,Away,SOUTHERN,texas-southern,87,77
31,2019,Health & Physical Education Arena,Away,SOUTHERN,texas-southern,70,80
