,year,arena,location,team,opponent,team_points,opponent_points
0,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,Medgar Evers,92,42
1,2019,Silvio O. Conte Forum,Away,ST-FRANCIS-NY,boston-college,69,74
2,2019,Robins Center,Away,ST-FRANCIS-NY,richmond,66,88
3,2019,Kirby Sports Center,Away,ST-FRANCIS-NY,lafayette,84,72
4,2019,Gallagher Center,Neutral,ST-FRANCIS-NY,iupui,48,68
5,2019,Gallagher Center,Away,ST-FRANCIS-NY,niagara,75,63
6,2019,Ross E.Templeton Center,Away,ST-FRANCIS-NY,presbyterian,90,86
7,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,St. Joseph's (NY),104,75
8,2019,NJIT Wellness and Events Center,Away,ST-FRANCIS-NY,njit,60,82
9,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,massachusetts-lowell,75,69
10,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,saint-peters,56,53
11,2019,Carnesecca Arena,Away,ST-FRANCIS-NY,st-johns-ny,52,86
12,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,manhattan,72,56
13,2019,Chace Athletic Center,Away,ST-FRANCIS-NY,bryant,66,76
14,2019,Spiro Sports Center,Away,ST-FRANCIS-NY,wagner,66,59
15,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,robert-morris,49,52
16,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,saint-francis-pa,72,68
17,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,sacred-heart,92,85
18,2019,Steinberg Wellness Center,Away,ST-FRANCIS-NY,long-island-university,79,70
19,2019,Rothman Center,Away,ST-FRANCIS-NY,fairleigh-dickinson,58,60
20,2019,Knott Arena,Away,ST-FRANCIS-NY,mount-st-marys,74,67
21,2019,Detrick Gymnasium,Away,ST-FRANCIS-NY,central-connecticut-state,72,78
22,2019,William H. Pitt Center,Away,ST-FRANCIS-NY,sacred-heart,62,71
23,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,wagner,51,44
24,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,fairleigh-dickinson,73,84
25,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,long-island-university,83,76
26,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,central-connecticut-state,90,79
27,2019,DeGol Arena,Away,ST-FRANCIS-NY,saint-francis-pa,71,81
28,2019,North Athletic Complex,Away,ST-FRANCIS-NY,robert-morris,62,67
29,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,bryant,74,66
30,2019,Pope Physical Education Center,Home,ST-FRANCIS-NY,mount-st-marys,71,73
31,2019,North Athletic Complex,Away,ST-FRANCIS-NY,robert-morris,65,69
32,2019,Hampton Convocation Center,Away,ST-FRANCIS-NY,hampton,72,81
